HomeTeam,AwayTeam,Probability,Date,Division,B365>2.5,Result
Beerschot VA,Anderlecht,0.59469789320157,2024-10-18,B1,1.53,Y
Laval,Dunkerque,0.651528396955642,2024-10-18,F2,2.23,Y
Guingamp,Pau FC,0.603657612919416,2024-10-18,F2,1.88,N
Grenoble,Metz,0.610078302824626,2024-10-18,F2,2.2,N
Dortmund,St Pauli,0.676361813947147,2024-10-18,D1,1.49,Y
Girona,Sociedad,0.662824121784648,2024-10-19,SP1,2.23,
Juventus,Lazio,0.631773199581636,2024-10-19,I1,2.22,
Milan,Udinese,0.695555240081556,2024-10-19,I1,1.59,
Lorient,Annecy,0.666220379122082,2024-10-19,F2,1.72,
Amiens,Ajaccio,0.560035718882081,2024-10-19,F2,2.67,
Freiburg,Augsburg,0.637340758334373,2024-10-19,D1,1.7,
Paris SG,Strasbourg,0.660054676124529,2024-10-19,F1,1.35,
Brest,Rennes,0.590782122697564,2024-10-19,F1,1.99,
Hoffenheim,Bochum,0.500426461266631,2024-10-19,D1,1.4,
Ath Bilbao,Espanol,0.600284026674506,2024-10-19,SP1,1.93,
Cercle Brugge,Dender,0.647703934545846,2024-10-19,B1,1.73,
Hearts,St Mirren,0.55608512780649,2024-10-19,SC0,1.86,
Dundee United,Hibernian,0.509704493455461,2024-10-19,SC0,1.93,
Waalwijk,Twente,0.61063398308348,2024-10-19,N1,1.52,
Nijmegen,Heerenveen,0.552612810778833,2024-10-19,N1,1.63,
Sparta Rotterdam,Almere City,0.588443961353404,2024-10-19,N1,1.69,
Sheffield Weds,Burnley,0.62203624402026,2024-10-19,E1,2.3,
Millwall,Derby,0.522666303911349,2024-10-19,E1,2.28,
Middlesbrough,Bristol City,0.607545519839638,2024-10-19,E1,1.77,
Preston,Coventry,0.503012060071851,2024-10-19,E1,1.94,
Oxford,West Brom,0.58618346969508,2024-10-19,E1,2.01,
M'gladbach,Heidenheim,0.664131346508668,2024-10-19,D1,1.64,
Trabzonspor,Buyuksehyr,0.688333316902396,2024-10-19,T1,1.9,
Antalyaspor,Galatasaray,0.648308044630135,2024-10-19,T1,1.43,
Southampton,Leicester,0.516637824221104,2024-10-19,E0,1.76,
Man United,Brentford,0.61857756173565,2024-10-19,E0,1.49,
Fulham,Aston Villa,0.518498651267034,2024-10-19,E0,1.73,
Tottenham,West Ham,0.606490221358449,2024-10-19,E0,1.37,
Wycombe,Peterboro,0.68153707760248,2024-10-19,E2,1.61,
Swindon,Doncaster,0.582537026806183,2024-10-19,E3,1.84,
Notts County,AFC Wimbledon,0.552362255391667,2024-10-19,E3,1.72,
Bolton,Burton,0.547453874342032,2024-10-19,E2,1.57,
Colchester,Cheltenham,0.550794222117752,2024-10-19,E3,1.96,
Crewe,Salford,0.567435587116702,2024-10-19,E3,2.08,
Charlton,Stockport,0.528128197202694,2024-10-19,E2,2.04,
Mansfield,Stevenage,0.684050561774827,2024-10-19,E2,1.96,
Northampton,Leyton Orient,0.612845394801278,2024-10-19,E2,2.09,
Barcelona,Sevilla,0.598301389400074,2024-10-20,SP1,1.43,
Sivasspor,Hatayspor,0.643386722861762,2024-10-20,T1,2.08,
Besiktas,Konyaspor,0.644052028989529,2024-10-20,T1,1.72,
Alanyaspor,Kasimpasa,0.511020634186075,2024-10-20,T1,1.78,
Ath Madrid,Leganes,0.603342797317062,2024-10-20,SP1,1.99,
Wolfsburg,Werder Bremen,0.571590718534991,2024-10-20,D1,1.7,
Kilmarnock,Rangers,0.573887889522758,2024-10-20,SC0,1.6,
Mechelen,Kortrijk,0.640228821509588,2024-10-20,B1,1.65,
Toulouse,Angers,0.636856383812266,2024-10-20,F1,2.06,
Montpellier,Marseille,0.556310437971042,2024-10-20,F1,1.54,
Cesena,Sampdoria,0.653673971861472,2024-10-20,I2,2.12,
Juve Stabia,Cremonese,0.657742352010734,2024-10-20,I2,2.12,
Empoli,Napoli,0.582962658256776,2024-10-20,I1,2.07,
Genk,St Truiden,0.681798839619273,2024-10-20,B1,1.49,
Harrogate,Port Vale,0.591135831080684,2024-10-22,E3,1.92
Milton Keynes Dons,Accrington,0.5755550650544846,2024-10-22,E3,1.61
Salford,Swindon,0.5382375323120293,2024-10-22,E3,2.02
Walsall,Carlisle,0.59129460164019,2024-10-22,E3,1.71
Pau FC,Bastia,0.636365313930136,2024-10-22,F2,2.23
AFC Wimbledon,Morecambe,0.6924274486263652,2024-10-22,E3,1.79
Stockport,Northampton,0.6927877114715351,2024-10-22,E2,1.84
Leeds,Watford,0.5146785899354382,2024-10-22,E1,1.6
Oxford,Derby,0.5873335381938323,2024-10-22,E1,2.12
Barnsley,Charlton,0.6637419137235311,2024-10-22,E2,1.85
Birmingham,Bolton,0.5053825094753889,2024-10-22,E2,1.72
Sheffield Weds,Swansea,0.5928733355138155,2024-10-22,E1,2.02
Stevenage,Cambridge,0.5828200084229498,2024-10-22,E2,2.16
Peterboro,Blackpool,0.6756367705007409,2024-10-22,E2,1.61
Millwall,Plymouth,0.5810549357043923,2024-10-23,E1,1.8
Middlesbrough,Sheffield United,0.5932804140304141,2024-10-23,E1,1.91
Almeria,Albacete,0.5168181495791792,2024-10-24,SP2,1.66
